"1","44","100","3/15/2017"
"2","17","100","1/8/2017"
"3","17","100","1/8/2017"
"4","17","100","1/8/2017"
"5","17","100","1/8/2017"
"6","17","100","1/8/2017"
"7","17","100","1/8/2017"
"8","17","100","1/8/2017"
"9","17","100","1/8/2017"
"10","17","100","1/8/2017"
"11","17","100","1/8/2017"
"12","17","100","1/8/2017"
"13","17","100","1/8/2017"
"14","17","100","1/8/2017"
"15","17","100","1/8/2017"
"16","17","100","1/8/2017"
"17","17","100","1/8/2017"
"18","17","100","1/8/2017"
"19","17","100","1/8/2017"
"20","17","100","1/8/2017"
"21","17","100","1/8/2017"
"22","17","100","1/8/2017"
"23","17","100","1/8/2017"
"24","17","100","1/8/2017"
"25","17","100","1/8/2017"
"26","17","100","1/8/2017"
"27","35","100","11/18/2016"
"28","35","100","11/18/2016"
"29","35","100","11/18/2016"
"30","35","100","11/18/2016"
"31","35","100","11/18/2016"
"32","35","100","11/18/2016"
"33","35","100","11/18/2016"
"34","35","100","11/18/2016"
"35","35","100","11/18/2016"
"36","35","100","11/18/2016"
"37","35","100","11/18/2016"
"38","35","100","11/18/2016"
"39","35","100","11/18/2016"
"40","35","100","11/18/2016"
"41","35","100","11/18/2016"
"42","35","100","11/18/2016"
"43","35","100","11/18/2016"
"44","35","100","11/18/2016"
"45","35","100","11/18/2016"
"46","35","100","11/18/2016"
"47","35","100","11/18/2016"
"48","35","100","11/18/2016"
"49","35","100","11/18/2016"
"50","35","100","11/18/2016"
"51","1","100","6/8/2017"
"52","1","100","6/8/2017"
"53","35","100","11/18/2016"
"54","1","100","6/8/2017"
"55","35","100","11/18/2016"
"56","1","100","6/8/2017"
"57","1","100","6/8/2017"
"58","1","100","6/8/2017"
"59","1","100","6/8/2017"
"60","1","100","6/8/2017"
"61","35","100","11/18/2016"
"62","1","100","6/8/2017"
"63","35","100","11/18/2016"
"64","35","100","11/18/2016"
"65","1","100","6/8/2017"
"66","35","100","11/18/2016"
"67","1","100","6/8/2017"
"68","1","100","6/8/2017"
"69","1","100","6/8/2017"
"70","1","100","6/8/2017"
"71","1","100","6/8/2017"
"72","35","100","11/18/2016"
"73","1","100","6/8/2017"
"74","1","100","6/8/2017"
"75","1","100","6/8/2017"
"76","35","100","11/18/2016"
